year,subject,exam_format,chapter,topic,question_text,options,correct_option,marks,verification_status,source_url
2016,Physics,annual,Electric Charges and Fields,Coulomb's Law,State the primary definition or significance of Coulomb's Law.,[],N/A,1,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Electric Charges and Fields,Electric Field Lines,Briefly explain the concept of Electric Field Lines and provide one standard example or application.,[],N/A,2,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Electric Charges and Fields,Gauss's Law,"Using Gauss's Law, derive the expression for the electric field due to an infinitely long straight uniformly charged wire.",[],N/A,5,verified,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Electrostatic Potential and Capacitance,Equipotential Surfaces,State the primary definition or significance of Equipotential Surfaces.,[],N/A,1,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Electrostatic Potential and Capacitance,Capacitors in Series and Parallel,Briefly explain the concept of Capacitors in Series and Parallel and provide one standard example or application.,[],N/A,2,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Electrostatic Potential and Capacitance,Energy stored in Capacitor,Derive the mathematical relationship for Energy stored in Capacitor or explain its step-by-step mechanism as outlined in the NCERT text.,[],N/A,3,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Current Electricity,Ohm's Law,State the primary definition or significance of Ohm's Law.,[],N/A,1,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Current Electricity,Kirchhoff's Laws,Briefly explain the concept of Kirchhoff's Laws and provide one standard example or application.,[],N/A,2,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Current Electricity,Wheatstone Bridge,Derive the mathematical relationship for Wheatstone Bridge or explain its step-by-step mechanism as outlined in the NCERT text.,[],N/A,3,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Current Electricity,Ohm's Law,"Provide a comprehensive analysis of Ohm's Law. Include necessary derivations, diagrams, and discuss a specific case study or numerical application.",[],N/A,4,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Moving Charges and Magnetism,Biot-Savart Law,State the primary definition or significance of Biot-Savart Law.,[],N/A,1,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Moving Charges and Magnetism,Ampere's Circuital Law,Briefly explain the concept of Ampere's Circuital Law and provide one standard example or application.,[],N/A,2,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Moving Charges and Magnetism,Force between parallel currents,Derive the mathematical relationship for Force between parallel currents or explain its step-by-step mechanism as outlined in the NCERT text.,[],N/A,3,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Magnetism and Matter,Earth's Magnetism,Briefly explain the concept of Earth's Magnetism and provide one standard example or application.,[],N/A,2,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Magnetism and Matter,Magnetic Properties of Materials,Derive the mathematical relationship for Magnetic Properties of Materials or explain its step-by-step mechanism as outlined in the NCERT text.,[],N/A,3,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Electromagnetic Induction,Faraday's Laws,Briefly explain the concept of Faraday's Laws and provide one standard example or application.,[],N/A,2,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Electromagnetic Induction,Lenz's Law,Briefly explain the concept of Lenz's Law and provide one standard example or application.,[],N/A,2,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Alternating Current,LCR Circuit,State the primary definition or significance of LCR Circuit.,[],N/A,1,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Alternating Current,Resonance,Briefly explain the concept of Resonance and provide one standard example or application.,[],N/A,2,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Alternating Current,AC Generator and Transformer,Derive the mathematical relationship for AC Generator and Transformer or explain its step-by-step mechanism as outlined in the NCERT text.,[],N/A,3,estimated,https://cbse.gov.in/pyq/2016/physics
2016,Physics,annual,Electromagnetic Waves,Electromagnetic Spectrum,Briefly explain the concept of Electromagnetic Spectrum and provide one standard example or application.,[],N/A,2,estimated,https://cbse.gov.in/pyq/2016/physics
